player_id,bb,avg,slg,ops,cs,sb,hr,rbi,lob,xbh,obp,h,r,ab,so,babip
547989,36,0.284,0.503,0.834,2,2,33,123,275,72,0.33,180,85,634,152,0.32
641313,15,0.335,0.508,0.865,5,17,18,56,187,50,0.357,167,81,498,109,0.399
641470,14,0.186,0.349,0.656,0,0,3,12,33,7,0.307,16,10,86,39,0.295
594809,65,0.279,0.428,0.792,3,15,15,49,194,47,0.365,158,103,566,106,0.319
641553,14,0.242,0.383,0.687,3,3,6,26,107,18,0.304,55,26,227,78,0.343
544725,21,0.279,0.378,0.688,5,15,8,40,204,38,0.31,161,93,577,139,0.353
518735,109,0.246,0.468,0.848,1,5,28,77,213,56,0.38,126,79,513,139,0.279
650391,30,0.267,0.513,0.828,0,0,31,79,213,51,0.315,125,69,468,134,0.308
664901,1,0.308,0.462,0.787,0,0,2,4,18,2,0.325,12,6,39,11,0.385
660162,40,0.315,0.548,0.915,3,10,25,79,197,64,0.367,161,83,511,154,0.406
664874,0,0.083,0.083,0.167,0,0,0,0,5,0,0.083,1,1,12,9,0.333
606157,16,0.259,0.576,0.891,0,7,19,47,104,27,0.316,53,31,205,60,0.266
571466,44,0.231,0.38,0.708,0,1,11,40,119,25,0.328,73,32,316,83,0.278
607468,10,0.25,0.361,0.781,0,0,1,3,11,2,0.42,9,6,36,14,0.348
592206,41,0.29700000000000004,0.554,0.896,2,2,27,73,215,88,0.34199999999999997,178,100,615,143,0.3395
571657,10,0.23,0.41,0.689,1,4,9,27,86,15,0.279,42,22,183,59,0.284
620453,0,0.111,0.222,0.333,0,0,0,1,4,1,0.111,1,0,9,2,0.143
595981,9,0.213,0.373,0.679,2,1,2,7,37,8,0.306,16,8,75,20,0.264
519058,53,0.254,0.516,0.845,0,3,35,87,248,66,0.329,133,80,523,98,0.25
669222,30,0.256,0.427,0.742,5,14,12,42,118,36,0.315,96,55,375,101,0.319
553993,70,0.271,0.572,0.93,2,3,49,103,235,73,0.358,156,87,575,189,0.312
458015,76,0.261,0.411,0.768,0,5,15,47,180,48,0.357,137,79,525,123,0.313
608385,38,0.269,0.473,0.83,2,0,16,38,125,35,0.357,91,51,338,60,0.286
641343,45,0.226,0.371,0.683,3,3,12,43,177,29,0.312,84,46,372,115,0.29
656252,4,0.178,0.356,0.6,0,0,1,4,25,6,0.245,8,4,45,20,0.292
644374,11,0.178,0.274,0.56,0,0,1,6,41,4,0.286,13,8,73,22,0.24
595978,27,0.176,0.311,0.563,0,1,11,36,136,20,0.252,55,28,312,109,0.228
514917,45,0.279,0.408,0.741,2,9,14,71,240,48,0.333,171,77,612,100,0.313
656669,33,0.276,0.551,0.923,2,3,15,38,82,31,0.372,62,42,225,61,0.313
640458,28,0.269,0.443,0.761,4,15,15,54,148,43,0.318,118,70,438,84,0.3
647304,25,0.249,0.403,0.719,1,1,8,32,93,23,0.315,63,29,253,64,0.302
547379,45,0.239,0.452,0.774,0,0,24,63,177,34,0.321,93,46,389,127,0.285
608070,52,0.255,0.479,0.806,4,24,23,83,217,59,0.327,123,68,482,74,0.256
614177,47,0.246,0.502,0.8105,0,0,37,81,202,56,0.309,123,69,494,156,0.2845
642708,31,0.287,0.432,0.755,10,19,15,72,248,52,0.323,177,75,616,124,0.338
592696,22,0.276,0.5,0.8,1,3,32,109,244,61,0.3,155,91,562,86,0.273
607333,4,0.087,0.2175,0.378,0,0,2,2,11,2,0.1605,4,3,25,7,0.0665
605548,1,0.0,0.0,0.071,0,0,0,0,4,0,0.071,0,1,13,7,0.0
453568,40,0.314,0.576,0.94,5,2,32,86,149,81,0.364,182,112,580,104,0.334
602074,7,0.206,0.237,0.494,0,1,0,3,36,2,0.257,20,7,97,21,0.26
435622,34,0.255,0.479,0.788,3,3,20,65,193,55,0.31,113,64,443,119,0.304
553869,23,0.241,0.307,0.603,0,0,2,28,127,16,0.296,73,31,303,56,0.286
658069,1,0.218,0.4,0.632,0,1,3,7,22,4,0.232,12,8,55,20,0.281
641658,24,0.247,0.385,0.686,3,15,8,27,119,21,0.302,74,40,299,88,0.322
656541,9,0.273,0.649,1.006,0,2,7,13,22,13,0.356,21,13,77,23,0.298
641857,56,0.25,0.45,0.779,1,5,24,83,224,47,0.329,120,70,480,160,0.323
624513,3,0.179,0.41,0.643,0,0,2,4,14,5,0.233,7,4,39,17,0.238
663898,4,0.224,0.25,0.522,0,0,0,7,30,2,0.272,17,8,76,27,0.347
596115,58,0.294,0.554,0.917,8,23,35,85,201,78,0.363,173,111,588,174,0.361
606132,21,0.275,0.415,0.724,3,9,9,44,171,37,0.309,117,54,426,100,0.341
408234,48,0.282,0.398,0.744,0,0,12,59,165,33,0.346,139,41,493,108,0.336
600869,43,0.203,0.337,0.643,1,3,8,32,148,27,0.306,68,33,335,99,0.262
605612,9,0.291,0.384,0.689,2,4,5,38,116,19,0.305,103,30,354,86,0.367
